,Sentence_id,Text,Target,Category,Polarity
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",place,RESTAURANT#GENERAL,negative
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE#GENERAL,negative
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL,SERVICE#GENERAL,negative
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,food,FOOD#QUALITY,negative
4,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,portions,FOOD#STYLE_OPTIONS,negative
5,1004293:4,"After all that, they complained to me about the small tip.",NULL,SERVICE#GENERAL,negative
6,1004293:5,Avoid this place!,place,RESTAURANT#GENERAL,negative
7,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD#QUALITY,positive
8,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,RESTAURANT#GENERAL,positive
9,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,FOOD#QUALITY,positive
10,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,FOOD#QUALITY,positive
11,1014458:3,The wine list is interesting and has many good values.,wine list,DRINKS#STYLE_OPTIONS,positive
12,1014458:3,The wine list is interesting and has many good values.,wine list,DRINKS#PRICES,positive
13,1014458:4,"For the price, you cannot eat this well in Manhattan.",NULL,RESTAURANT#PRICES,positive
14,1014458:4,"For the price, you cannot eat this well in Manhattan.",NULL,FOOD#QUALITY,positive
15,1016296:0,I was very disappointed with this restaurant.,restaurant,RESTAURANT#GENERAL,negative
16,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE#GENERAL,negative
17,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,NULL,SERVICE#GENERAL,negative
18,1016296:3,"Food was okay, nothing great.",Food,FOOD#QUALITY,neutral
19,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,Chow fun,FOOD#QUALITY,negative
20,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,pork shu mai,FOOD#QUALITY,negative
21,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,NULL,AMBIENCE#GENERAL,negative
22,1016296:5,I/we will never go back to this place again.,place,RESTAURANT#GENERAL,negative
23,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,RESTAURANT#GENERAL,positive
24,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,SERVICE#GENERAL,positive
25,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,FOOD#QUALITY,positive
26,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",NULL,RESTAURANT#PRICES,positive
27,1028246:2,You can't go wrong here.,NULL,RESTAURANT#GENERAL,positive
28,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,RESTAURANT#GENERAL,positive
29,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",NULL,FOOD#QUALITY,positive
30,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,SERVICE#GENERAL,positive
31,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,AMBIENCE#GENERAL,positive
32,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD#QUALITY,positive
33,1032695:3,Can't wait wait for my next visit.,NULL,RESTAURANT#GENERAL,positive
34,1041457:1,And I hate to say this but I doubt I'll ever go back.,NULL,RESTAURANT#GENERAL,negative
35,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,FOOD#QUALITY,negative
36,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,FOOD#QUALITY,negative
37,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",NULL,FOOD#QUALITY,negative
38,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD#QUALITY,positive
39,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,FOOD#QUALITY,positive
40,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,FOOD#STYLE_OPTIONS,positive
41,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,AMBIENCE#GENERAL,negative
42,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,AMBIENCE#GENERAL,positive
43,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,AMBIENCE#GENERAL,negative
44,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,DRINKS#STYLE_OPTIONS,positive
45,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",NULL,SERVICE#GENERAL,positive
46,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,FOOD#QUALITY,positive
47,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,FOOD#QUALITY,positive
48,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE#GENERAL,positive
49,1055910:0,we love th pink pony.,pink pony,RESTAURANT#GENERAL,positive
50,1055910:1,THe perfect spot.,spot,RESTAURANT#GENERAL,positive
51,1055910:2,Food-awesome.,Food,FOOD#QUALITY,positive
52,1055910:3,Service- friendly and attentive.,Service,SERVICE#GENERAL,positive
53,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE#GENERAL,positive
54,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,RESTAURANT#GENERAL,positive
55,1058221:2,the food is decent.,food,FOOD#QUALITY,neutral
56,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE#GENERAL,negative
57,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE#GENERAL,negative
58,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",NULL,SERVICE#GENERAL,negative
59,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",NULL,RESTAURANT#GENERAL,negative
60,1058221:7,the last time i walked by it looked pretty empty. hmmm.,NULL,RESTAURANT#MISCELLANEOUS,negative
61,1062641:0,This place has got to be the best japanese restaurant in the new york area.,place,RESTAURANT#GENERAL,positive
62,1062641:1,I had a great experience.,NULL,RESTAURANT#GENERAL,positive
63,1062641:2,Food is great.,Food,FOOD#QUALITY,positive
64,1062641:3,Service is top notch.,Service,SERVICE#GENERAL,positive
65,1062641:4,I have been going back again and again.,NULL,RESTAURANT#GENERAL,positive
66,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD#QUALITY,positive
67,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",NULL,FOOD#QUALITY,positive
68,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,sushi,FOOD#QUALITY,positive
69,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,sushi,FOOD#STYLE_OPTIONS,positive
70,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD#STYLE_OPTIONS,positive
